동명,주차장명,위도,경도,업체
화양동,화양동성당 옆,37.546504,127.073756,스윙
화양동,피자유니온,37.545763,127.07735,스윙
,자양역 1번출구,37.532187,127.067276,씽씽
,신양초등학교,37.53526307,127.0690822,씽씽
,이튼타워리버 2차 앞 ,37.53569603,127.0688804,씽씽
,광진문화예술회관,37.53748665,127.0698566,씽씽
,위비_193,37.53871723,127.0701029,씽씽
,건대 롯데백화점,37.53957839,127.0709249,씽씽
,건대입구역 4번출구,37.53989132,127.0714916,씽씽
,자양하늘채베르 앞,37.53209682,127.0843791,씽씽
,건국대학교 상허문 앞,37.539634,127.072438,씽씽
,건대아동교육아카데미앞 ,37.53915232,127.0736253,씽씽
,겨울자전거_스타시티2,37.53882074,127.0735142,씽씽
,겨울자전거_카페인모아,37.5384597,127.0753355,씽씽
,겨울자전거_LG전자,37.53811015,127.0766028,씽씽
,겨울자전거_대림부동산,37.53677041,127.0828096,씽씽
,겨울자전거_대림부동산,37.53723994,127.0809106,씽씽
,싸다김밥 구의역점,37.537501,127.083538,씽씽
,위비_75 구의역 1번출구,37.53694579,127.084891,씽씽
,구의 웰츠타워,37.53805142,127.0834589,씽씽
,강변역버스환승센터,37.53705702,127.0937968,씽씽
,버거킹 구의점,37.53989591,127.093976,씽씽
,구의 삼성쉐르빌 앞,37.54029596,127.0945789,씽씽
,설빙 구의점 앞,37.54071135,127.0949077,씽씽
,KFC 광장동점 앞,37.54164324,127.095147,씽씽
,광나루역 2번출구앞 ,37.54542277,127.1044155,씽씽
,구의 시장 교차로 ,37.5446142,127.0907347,씽씽
,GS더프레시 광진구의점,37.54260202,127.0843545,씽씽
,수협 구의지점,37.54096434,127.0836547,씽씽
화양동,건국대 신공학관,37.540634,127.079475,씽씽
화양동,건국대학교생명관PM스테이션,37.540991,127.074055,씽씽
화양동,건국대 씨네마,37.542865,127.072926,씽씽
화양동,건국대 사범대,37.544015,127.074213,씽씽
화양동,건국대상허관주차장입구,37.539634,127.072438,씽씽
화양동,건국대새천년관,37.543716,127.077114,씽씽
화양동,건국대공학관,37.542076,127.078779,씽씽
화양동,건국대 산학관 1층 ,37.53966,127.073218,씽씽
화양동,건국대신공학관,37.540634,127.079475,씽씽
화양동,건국문화사,37.54546537,127.0764094,씽씽
,능동로분수광장옆,37.54348045,127.072413,씽씽
,영동교 골목시장 입구,37.53897458,127.0624117,씽씽
,KB국민은행 건대점,37.5412378,127.0671233,씽씽
,커먼그라운드,37.54141471,127.0659811,씽씽
,덴간호학원 건대점,37.54164558,127.0659092,씽씽
,성수사거리,37.54220721,127.0640761,씽씽
,도이치모터스 앞 ,37.54229042,127.0638992,씽씽
,화양현대아파트(바이크),37.54397126,127.0651076,씽씽
,성수대우프레시아1차 앞,37.54517457,127.0654815,씽씽
,동부참사랑요양병원 앞,37.54581884,127.0661682,씽씽
,하나은행 화양동지점,37.54819053,127.0675798,씽씽
,다이소화양동점,37.54791469,127.0706429,씽씽
,어린이대공원역 4번출구,37.546818,127.0737281,씽씽
,어린이대공원역 3번출구,37.54702433,127.0746327,씽씽
,아차산역 2번출구,37.55131682,127.0902279,씽씽
,군자 정우빌딩 앞,37.55613197,127.0815418,씽씽
,군자 LG 베스트샵 앞 ,37.55684347,127.0809078,씽씽
,군자역 4번출구,37.55708774,127.0802359,씽씽
,군자역 5번출구,37.55673953,127.080013,씽씽
,국대떡볶이 군자,37.55548761,127.0786759,씽씽
,메가박스군자,37.55575194,127.0785684,씽씽
,군자역 8번 출구,37.55733776,127.078397,씽씽
,군자역 1번 출구,37.55774121,127.0786032,씽씽
,천지빌딩 앞,37.55296858,127.0773579,씽씽
,보난자커피 앞 ,37.55159971,127.0764383,씽씽
,겨울자전거_어대공주차장,37.5507097,127.0763185,씽씽
,겨울자전거_어린이대공원,37.54914942,127.0756215,씽씽
,세종대학교 정문,37.54924112,127.0751997,씽씽
,어린이대공원역 5번출구,37.54784504,127.0744082,씽씽
,어린이대공원역 4번출구,37.5468488,127.0737587,씽씽
,어린이대공원역 3번출구,37.54705536,127.0746899,씽씽
,겨울자전거_리플레쉬 앞,37.54429817,127.0725386,씽씽
 ,겨울자전거_긴자료코 앞,37.54283263,127.0718608,씽씽
,다이소 화양동점,37.5478835,127.0707552,씽씽
,중곡역 2번출구,37.56503466,127.0839516,씽씽
